City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,airai,-8.9266,125.4092,74.77,57,31,2.8,TL,1679281303
1,ushuaia,-54.8,-68.3,42.46,81,40,25.32,AR,1679281303
2,saint-augustin,51.226,-58.6502,27.81,79,97,21.32,CA,1679281304
3,jamestown,42.097,-79.2353,28.54,67,0,10.36,US,1679281304
4,salisbury,51.0693,-1.7957,48.02,89,75,6.91,GB,1679281305
5,alyangula,-13.8483,136.4192,80.31,84,100,20.07,AU,1679281305
6,busselton,-33.65,115.3333,82.62,39,24,3.31,AU,1679281306
7,punta arenas,-53.15,-70.9167,46.51,76,40,32.21,CL,1679281154
8,oussouye,12.485,-16.5469,73.58,88,82,6.62,SN,1679281306
9,adrar,20.5022,-10.0711,67.6,23,0,10.4,MR,1679281307
10,labuan,5.2767,115.2417,84.56,79,20,3.44,MY,1679281308
11,albany,42.6001,-73.9662,29.23,59,34,8.41,US,1679281045
12,buraydah,26.326,43.975,61.25,32,0,9.26,SA,1679281309
13,bredasdorp,-34.5322,20.0403,62.22,84,1,4.59,ZA,1679281309
14,rio verde de mato grosso,-18.9181,-54.8442,70.59,97,100,4.43,BR,1679281309
15,rikitea,-23.1203,-134.9692,79.41,73,2,10.0,PF,1679281310
16,cape town,-33.9258,18.4232,63.1,88,75,17.27,ZA,1679281200
17,lebu,-37.6167,-73.65,54.57,87,38,17.96,CL,1679281311
18,alofi,-19.0595,-169.9187,82.29,78,100,2.3,NU,1679281078
19,kruisfontein,-34.0033,24.7314,64.89,91,100,5.35,ZA,1679281078
20,ribeira grande,38.5167,-28.7,57.78,76,2,1.99,PT,1679281311
21,atuona,-9.8,-139.0333,80.94,76,25,15.73,PF,1679281312
22,aleppo,36.25,37.5,47.75,89,100,7.65,SY,1679281312
23,kolyvan,55.3053,82.7391,1.02,91,67,6.38,RU,1679281313
24,yuncheng,35.0231,110.9928,57.06,56,100,5.17,CN,1679281314
25,kapaa,22.0752,-159.319,79.12,79,100,3.0,US,1679281315
26,inirida,3.8653,-67.9239,76.78,70,18,0.76,CO,1679281235
27,arraial do cabo,-22.9661,-42.0278,76.3,88,6,15.03,BR,1679281316
28,mecca,21.4267,39.8261,68.02,50,0,6.38,SA,1679281044
29,oranjestad,12.524,-70.027,78.91,81,20,17.27,AW,1679281303
30,bambous virieux,-20.3428,57.7575,77.22,100,40,4.61,MU,1679281316
31,kaeo,-35.1,173.7833,71.13,58,6,6.06,NZ,1679281317
32,khatanga,71.9667,102.5,-21.82,97,90,6.96,RU,1679281318
33,acarau,-2.8856,-40.12,76.44,87,100,5.28,BR,1679281272
34,castro,-24.7911,-50.0119,63.28,86,45,0.94,BR,1679281319
35,qaanaaq,77.484,-69.3632,-10.75,63,10,7.58,GL,1679281320
36,emba,48.8264,58.1442,27.84,62,0,12.21,KZ,1679281321
37,hermanus,-34.4187,19.2345,63.75,75,33,4.14,ZA,1679281321
38,stanislav,46.5691,32.1478,39.16,84,4,7.2,UA,1679281322
39,broome,42.2506,-75.833,28.71,62,8,5.01,US,1679281254
40,puerto ayora,-0.7393,-90.3518,79.56,88,38,1.01,EC,1679281217
41,upernavik,72.7868,-56.1549,-22.11,98,75,10.76,GL,1679281324
42,namibe,-15.1961,12.1522,75.36,78,74,5.01,AO,1679281325
43,severo-kurilsk,50.6789,156.125,32.85,86,89,15.39,RU,1679281326
44,hilo,19.7297,-155.09,84.27,87,93,1.01,US,1679281198
45,nyagan,62.1406,65.3936,24.57,92,100,14.2,RU,1679281326
46,bandarbeyla,9.4942,50.8122,80.02,68,100,5.95,SO,1679281327
47,ilasan,14.0631,121.6328,79.99,48,54,8.66,PH,1679281328
48,tazovskiy,67.4667,78.7,13.48,92,100,21.56,RU,1679281328
49,port macquarie,-31.4333,152.9167,82.89,67,45,10.65,AU,1679281257
50,hithadhoo,-0.6,73.0833,82.33,70,100,2.46,MV,1679281329
51,lavrentiya,65.5833,-171.0,21.67,95,100,9.01,RU,1679281329
52,vaini,-21.2,-175.2,80.76,89,75,6.91,TO,1679281330
53,saint-francois,46.4154,3.9054,38.64,93,75,2.3,FR,1679281330
54,port hedland,-20.3167,118.5667,95.05,55,40,12.66,AU,1679281331
55,barrow,71.2906,-156.7887,-0.38,78,75,8.05,US,1679281331
56,porto santo,33.072,-16.3415,61.18,72,40,8.05,PT,1679281332
